budget,genres,id,keywords,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,release_year,year,genre_name,country_name,company_name
270000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1452,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 8872, ""name"": ""invulnerability""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 163420, ""name"": ""kryptonite""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 179102, ""name"": ""superhuman strength""}, {""id"": 202526, ""name"": ""lex luthor""}]",en,57.925623,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Bad Hat Harry Productions', 'id': 9168}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-06-28,391081192,154.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Superman Returns,5.4,1400,2006,2006,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",['United States of America'],"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']"
200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",10764,"[{""id"": 627, ""name"": ""killing""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 156095, ""name"": ""british secret service""}]",en,107.928811,"[{'name': 'Eon Productions', 'id': 7576}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-10-30,586090727,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Quantum of Solace,6.1,2965,2008,2008,"['Adventure', 'Action', 'Thriller', 'Crime']","['United Kingdom', 'United States of America']",['Eon Productions']
200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",58,"[{""id"": 616, ""name"": ""witch""}, {""id"": 663, ""name"": ""fortune teller""}, {""id"": 910, ""name"": ""bondage""}, {""id"": 911, ""name"": ""exotic island""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 1317, ""name"": ""card game""}, {""id"": 1319, ""name"": ""east india trading company""}, {""id"": 1461, ""name"": ""compass""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,145.847379,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Second Mate Productions', 'id': 19936}]","[{'iso_3166_1': 'JM', 'name': 'Jamaica'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'BS', 'name': 'Bahamas'}, {'iso_3166_1': 'DM', 'name': 'Dominica'}]",2006-06-20,1065659812,151.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""tr"", ""name"": ""T\u00fcrk\u00e7e""}, {""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Pirates of the Caribbean: Dead Man's Chest,7.0,5246,2006,2006,"['Adventure', 'Fantasy', 'Action']","['Jamaica', 'United States of America', 'Bahamas', 'Dominica']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
255000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",57201,"[{""id"": 1556, ""name"": ""texas""}, {""id"": 2673, ""name"": ""horse""}, {""id"": 5385, ""name"": ""survivor""}, {""id"": 5901, ""name"": ""texas ranger""}, {""id"": 9104, ""name"": ""partner""}, {""id"": 9503, ""name"": ""outlaw""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 13008, ""name"": ""train""}, {""id"": 178867, ""name"": ""lone ranger""}, {""id"": 179419, ""name"": ""comanche""}, {""id"": 222787, ""name"": ""the lone ranger""}, {""id"": 228232, ""name"": ""tonto""}]",en,49.046956,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Infinitum Nihil', 'id': 2691}, {'name': 'Silver Bullet Productions (II)', 'id': 37380}, {'name': 'Blind Wink Productions', 'id': 37381}, {'name': 'Classic Media', 'id': 37382}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-07-03,89289910,149.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Lone Ranger,5.9,2311,2013,2013,"['Action', 'Adventure', 'Western']",['United States of America'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']"
225000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",49521,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10761, ""name"": ""superhuman""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 229266, ""name"": ""dc extended universe""}]",en,99.398009,"[{'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}, {'name': 'Cruel and Unusual Films', 'id': 78685}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-06-12,662845518,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Man of Steel,6.5,6359,2013,2013,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['United Kingdom', 'United States of America']","['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']"
225000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2454,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 855, ""name"": ""fictional place""}, {""id"": 1155, ""name"": ""brother sister relationship""}, {""id"": 2043, ""name"": ""lion""}, {""id"": 3714, ""name"": ""human being""}, {""id"": 4391, ""name"": ""wretch""}, {""id"": 4820, ""name"": ""leap in time""}, {""id"": 5144, ""name"": ""matter of life and death""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 166930, ""name"": ""narnia""}, {""id"": 170362, ""name"": ""fantasy world""}]",en,53.978602,"[{'name': 'Walt Disney', 'id': 5888}, {'name': 'Walden Media', 'id': 10221}, {'name': 'Stillking Films', 'id': 11345}, {'name': 'Ozumi Films', 'id': 11440}, {'name': 'Propeler', 'id': 11441}, {'name': 'Silverbell Films', 'id': 11442}, {'name': 'Revolution Sun Studios', 'id': 76043}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'PL', 'name': 'Poland'}, {'iso_3166_1': 'SI', 'name': 'Slovenia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-05-15,419651413,150.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Chronicles of Narnia: Prince Caspian,6.3,1630,2008,2008,"['Adventure', 'Family', 'Fantasy']","['Czech Republic', 'Poland', 'Slovenia', 'United States of America']","['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']"
220000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",24428,"[{""id"": 242, ""name"": ""new york""}, {""id"": 5539, ""name"": ""shield""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}]",en,144.448633,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Marvel Studios', 'id': 420}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-04-25,1519557910,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Avengers,7.4,11776,2012,2012,"['Science Fiction', 'Action', 'Adventure']",['United States of America'],"['Paramount Pictures', 'Marvel Studios']"
380000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",1865,"[{""id"": 658, ""name"": ""sea""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 1860, ""name"": ""mutiny""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 2569, ""name"": ""prime minister""}, {""id"": 3180, ""name"": ""sailing""}, {""id"": 3625, ""name"": ""silver""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 4235, ""name"": ""duke""}, {""id"": 5938, ""name"": ""mermaid""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 209714, ""name"": ""3d""}]",en,135.413856,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2011-05-14,1045713802,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Pirates of the Caribbean: On Stranger Tides,6.4,4948,2011,2011,"['Adventure', 'Action', 'Fantasy']",['United States of America'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']"
225000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",41154,"[{""id"": 4379, ""name"": ""time travel""}, {""id"": 5455, ""name"": ""time machine""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 174915, ""name"": ""fictional government agency""}, {""id"": 185668, ""name"": ""seeing the future""}, {""id"": 208756, ""name"": ""changing history""}]",en,52.035179,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Media Magik Entertainment', 'id': 5627}, {'name': 'Imagenation Abu Dhabi FZ', 'id': 6736}, {'name': 'Hemisphere Media Capital', 'id': 9169}, {'name': 'Parkes/MacDonald Productions', 'id': 11084}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-05-23,624026776,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Men in Black 3,6.2,4160,2012,2012,"['Action', 'Comedy', 'Science Fiction']",['United States of America'],"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']"
250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",122917,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 603, ""name"": ""elves""}, {""id"": 604, ""name"": ""dwarves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 12554, ""name"": ""dragon""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 167982, ""name"": ""unlikely friendship""}, {""id"": 188270, ""name"": ""epic battle""}, {""id"": 234213, ""name"": ""sword and sorcery""}]",en,120.965743,"[{'name': 'WingNut Films', 'id': 11}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'Warner Bros. Pictures', 'id': 174}, {'name': '3Foot7', 'id': 7413}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-12-10,956019788,144.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Hobbit: The Battle of the Five Armies,7.1,4760,2014,2014,"['Action', 'Adventure', 'Fantasy']","['New Zealand', 'United States of America']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']"
